tree	simID	number_of_lineages	tree_height	phylogenetic_div	gamma	beta	colless	sackin	var_depth	psv	i_stat	mpd	vpd	laplac_spectrum_e	laplac_spectrum_a	laplac_spectrum_p	laplac_spectrum_g	nltt_base	blum	crown_age	pigot_rho	avg_ladder	max_ladder	cherries	il_number	pitchforks	stairs	imbalance_steps	j_one	b1	b2	area_per_pair	average_leaf_depth	ew_colless	max_del_width	max_depth	max_width	rogers	stairs2	tot_coph	symmetry_nodes	mntd	j_stat	rquartet	wiener	max_betweenness	max_closeness	diameter	eigenvector	mean_branch_length	var_branch_length	mean_branch_length_int	mean_branch_length_ext	var_branch_length_int	var_branch_length_ext
pair1_afrotheria sister clade xenarthra.tre	1	31	1	8.174222082	1.29577343	0.905078125	63	179	2.580645161	0.70757272	0.499179894	1.415145441	0.374528208	4.713816437	0.64596799	2.266693926	15	0.736315417	30.62444263	1	0.198338992	2.333333333	3	11	9	4	0.6	22	0.857989305	16.82619048	4.2421875	8.834408602	5.774193548	0.446603385	4	8	12	18	0.667635756	631	18	0.217161387	0.045649853	33999	2187.368751	1163	0.022279822	14	0.642421204	0.136237035	0.017004117	0.16580071	0.108580693	0.019977071	0.013160917
pair1_afrotheria.tre	1	86	1	19.75914055	-0.823020826	-0.08421875	365	751	7.280574555	0.770371732	0.416780897	1.540743464	0.298263285	5.754754354	0.242530026	2.519477927	164	0.770242552	94.70478471	1	0.200214107	2	2	32	22	16	0.611764706	71	0.735897162	48.30751471	4.571166992	12.41450068	8.73255814	0.428922973	6	14	24	52	0.666605911	9230	52	0.258723024	0.017915622	1659039	19299.09726	9343	0.007238778	21	0.706391824	0.116230239	0.013829536	0.102786316	0.129361512	0.011771851	0.015648433
pair2_cetartiodactyla sister clade carnivora perrisodactyla.tre	2	324	1	41.81558665	0.112212861	-0.599477539	2210	4082	14.50724305	0.648442463	0.557499548	1.296884926	0.193570822	7.123656805	2.064562918	7.437276589	54	0.870939547	406.4485429	1	0.507522655	2.296296296	5	109	106	44	0.609907121	302	0.661957717	170.0205793	5.64187336	18.86488553	12.59876543	0.472477303	14	21	68	197	0.62274689	165681	197	0.148196737	0.004002731	407443893	244994.7025	122881	0.002218881	36	0.690155334	0.06473001	0.005468814	0.055303464	0.074098368	0.005618114	0.005160748
pair2_cetartiodactyla.tre	2	344	1	45.87841572	-0.021108725	-0.75847168	3053	4955	19.1277968	0.636044475	0.545419124	1.27208895	0.337443623	7.187386071	0.983799962	3.138505305	37	0.866632512	442.9794746	1	0.643985735	2.272727273	4	119	106	46	0.583090379	320	0.584991943	183.0245216	4.886282444	20.32570005	14.40406977	0.456130446	12	23	66	200	0.630069378	250215	202	0.159650383	0.003697933	422105208	269316.2887	148109	0.002089422	40	0.684545734	0.066878157	0.006210463	0.053855409	0.079825192	0.006375124	0.005727657
pair3_hippos sister clade cetacea.tre	3	89	1	29.55772408	-2.604058828	-0.989602051	559	927	14.92747702	0.784959849	0.625324636	1.569919698	0.325923043	5.780852546	0.451133964	2.085123029	55	0.667890741	115.6694772	1	-0.186298623	2	2	29	31	13	0.636363636	71	0.621726295	44.85576507	4.034637451	14.31920327	10.41573034	0.523797336	4	17	16	56	0.578755519	12751	56	0.469855953	0.017639547	1776900	19507.94726	9315	0.007012376	27	0.657866377	0.167941614	0.029604521	0.099415335	0.234927976	0.016045964	0.034010691
pair4_humminbirds sister clade swifts.tre	4	96	1	36.03756801	-4.169436393	-1.075723877	692	1106	19.93640351	0.795964438	0.604872616	1.591928877	0.150265976	5.841585536	-0.102449383	2.431199065	5	0.624608667	129.1628269	1	-0.399074961	2.333333333	3	32	32	12	0.610526316	75	0.571569982	48.87234283	3.801931381	14.97675439	11.52083333	0.49237964	6	20	20	58	0.598539328	18388	58	0.497217443	0.016582592	2061978	22309.56966	11827	0.007551372	29	0.704740989	0.189671411	0.029103247	0.129480115	0.248608721	0.015379193	0.035749699
pair4_hummingbirds.tre	4	319	1	65.0384421	-3.957197021	-0.709890137	2285	4093	19.95867589	0.680272687	0.585866689	1.360545374	0.157755765	7.076992819	0.878257764	3.927755666	3	0.796117736	409.4810482	1	-0.209789577	2.529411765	5	98	123	48	0.635220126	293	0.648242029	161.3366947	5.238714755	18.95388498	12.830721	0.512113456	14	25	66	202	0.601758563	170107	204	0.257640614	0.004265033	311034738	235176.3615	128663	0.002433809	37	0.679438266	0.102261701	0.009555127	0.075535534	0.128820306	0.005665571	0.012030648
pair5_lagomorpha sister clade rodentia.tre	5	2118	1	214.9204751	-6.35463756	-0.608405496	29528	44914	56.21835021	0.720444178	0.537006485	1.440888355	0.302271373	9.003311477	0.606553655	4.581808177	5	0.898526688	2688.093964	1	0.510487171	2.444444444	6	722	674	337	0.60085026	2076	0.521011159	1132.028172	6.213181024	32.71441271	21.20585458	0.468235695	32	42	218	1272	0.632361104	10870199	1284	0.12025305	0.000680306	5.44392E+11	12015160.57	5965983	0.00030222	64	0.688948238	0.050760622	0.003129473	0.041385867	0.060126525	0.002745736	0.003338719
pair5_lagomorpha.tre	5	94	1	16.52501438	-0.943957763	-0.991074219	507	927	14.35701213	0.642106548	0.614747083	1.284213096	0.452603537	5.849557376	0.580507345	2.048709782	1	0.824201975	122.4773075	1	0.639937347	2.333333333	4	29	36	13	0.623655914	75	0.664650865	46.6141557	4.707054138	15.0366049	9.861702128	0.519821708	4	18	20	58	0.58817228	10243	59	0.213938254	0.013661841	3214134	19534.47907	11129	0.007340226	29	0.612370859	0.088844163	0.008425324	0.070325179	0.106969127	0.00788117	0.008377059
pair6_passeriformes sister clade coraciiformes.tre	6	151	1	20.16884332	3.319287022	-0.714306641	1102	1802	20.75558499	0.671046188	0.566093699	1.342092376	0.505140203	6.367829588	0.441377373	2.387856073	119	0.866431501	188.9541768	1	0.30433337	2.75	5	49	53	22	0.62	128	0.606547789	78.41047414	3.630195141	15.86754967	11.93377483	0.488998334	12	22	32	93	0.616431337	45300	93	0.140466607	0.008888029	13294875	55007.79393	27731	0.004257215	33	0.70708695	0.067229478	0.008860102	0.064185333	0.070233303	0.008602241	0.009155304
pair6_passeriformes.tre	6	5911	1	653.2026255	-13.26809303	-0.743056906	102470	149430	59.53225421	0.741838488	0.569814646	1.483676975	0.139794203	10.04280392	0.459776066	4.983099351	1	0.889493719	7753.353966	1	0.464409247	2.481327801	12	1941	2029	881	0.620473773	5864	0.49561682	3065.104093	4.646167554	38.60590032	25.27998647	0.490236477	58	46	606	3667	0.611198269	104400923	3700	0.140916701	0.000251003	3.81102E+13	95951233.14	42008591	0.000112225	77	0.70709144	0.055262489	0.00361443	0.040061486	0.07045835	0.002277493	0.004489541
pair7_primates.tre	7	423	1	42.05854178	0.306395282	0.033554688	1840	4612	5.902905224	0.675212065	0.478274055	1.350424129	0.401500178	7.386995534	0.8712311	3.960948174	1	0.900570823	502.6293005	1	0.74108403	2.6	4	146	131	57	0.59478673	404	0.8001885	227.5926772	6.469078064	18.21399841	10.90307329	0.430349555	26	18	126	251	0.660557101	160305	254	0.113372186	0.003192492	1373193354	447382.0929	236589	0.001513045	32	0.685588152	0.049832395	0.003518263	0.042946139	0.056686093	0.003382698	0.003567129
pair8_storks sister clade pelicaniformes.tre	8	84	1	21.32161366	-1.313504676	-0.737861328	455	821	11.02051061	0.652786147	0.585125451	1.305572294	0.242350354	5.746091789	0.598651115	2.118560921	2	0.746171266	102.5885812	1	0.195179055	2.428571429	3	27	30	14	0.638554217	66	0.654025169	42.91922106	3.761642456	13.03930006	9.773809524	0.515986949	6	17	18	53	0.603747137	11344	54	0.30000992	0.015542527	1683555	14790.86898	8493	0.009617813	26	0.706762604	0.128443456	0.015942666	0.106356061	0.15000496	0.010262562	0.020725507
pair8_storks.tre	8	17	1	8.033484653	-1.591625192	9.999678521	18	74	0.867647059	0.796265808	0.348809524	1.592531615	0.233382261	4.025076697	-0.264730203	1.898411666	1	0.527442079	14.21629272	1	-0.295562151	2	2	5	7	5	0.6875	10	0.939011734	8.866666667	3.84375	6.955882353	4.352941176	0.54	4	6	10	11	0.674702381	119	11	0.587209034	0.09367833	3132	627.1987206	317	0.040849666	11	0.684544461	0.251046395	0.029684344	0.202813858	0.293604517	0.014238807	0.040949088
